read_accession_id,taxid,count
CP097095.1,1654,1
CP097095.1,1660,1
CP097095.1,2853258,1
NZ_LT635457.1,1852377,26
NZ_CP033459.1,2133944,3003
NZ_CP033459.1,976,1
NZ_CP033459.1,171552,2
NZ_CP033459.1,171549,1
CAKAFU010000002.1,838,132
CAKAFU010000002.1,2,20
CAKAFU010000002.1,2893202,1
CAKAFU010000002.1,908937,10
CAKAFU010000002.1,171552,34
CAKAFU010000002.1,162156,4
CAKAFU010000002.1,28132,26
CAKAFU010000002.1,28137,2
CAKAFU010000002.1,936155,1
CAKAFU010000002.1,816,4
CAKAFU010000002.1,2913614,2
CAKAFU010000002.1,28131,54
CAKAFU010000002.1,1224,3
CAKAFU010000002.1,76123,4
CAKAFU010000002.1,28129,60
CAKAFU010000002.1,336810,1
CAKAFU010000002.1,171549,31
CAKAFU010000002.1,2649562,1
CAKAFU010000002.1,2785056,1
CAKAFU010000002.1,28133,25
CAKAFU010000002.1,2133944,4
CAKAFU010000002.1,470565,6
CAKAFU010000002.1,200644,1
CAKAFU010000002.1,702439,4
CAKAFU010000002.1,976,9
CAKAFU010000002.1,2789327,1
CAKAFU010000002.1,1236517,9
CAKAFU010000002.1,2768834,1
CAKAFU010000002.1,36874,1
CAKAFU010000002.1,762982,2
CAKAFU010000002.1,49546,2
CAKAFU010000002.1,1736,1
CAKAFU010000002.1,1177574,19
CAKAFU010000002.1,2709396,2
CAKAFU010000002.1,4564,1
CAKAFU010000002.1,40214,1
CAKAFU010000002.1,2974251,1
CAKAFU010000002.1,837,7
CAKAFU010000002.1,28113,1
CAKAFU010000002.1,2749086,1
CAKAFU010000002.1,28135,9
CAKAFU010000002.1,712471,10
CAKAFU010000002.1,1642647,1
CAKAFU010000002.1,2795779,1
CAKAFU010000002.1,28112,1
CAKAFU010000002.1,575614,8
CAKAFU010000002.1,1122984,5
CAKAFU010000002.1,28119,7
CAKAFU010000002.1,28125,4
CAKAFU010000002.1,182163,1
CAKAFU010000002.1,2685834,1
CAKAFU010000002.1,1236518,2
CAKAFU010000002.1,2913616,4
CAKAFU010000002.1,82115,1
CAKAFU010000002.1,2953753,2
CAKAFU010000002.1,1249,1
CAKAFU010000002.1,239759,1
CAKAFU010000002.1,47678,2
CAKAFU010000002.1,165696,1
CAKAFU010000002.1,237258,1
CAKAFU010000002.1,2759,1
CAKAFU010000002.1,259,1
CAKAFU010000002.1,2714855,1
CAKAFU010000002.1,815,1
CAKAFU010000002.1,116085,1
CAKAFU010000002.1,9606,2
CAKAFU010000002.1,406818,2
CAKAFU010000002.1,423349,3
CAKAFU010000002.1,2816950,1
CAKAFU010000002.1,649349,1
CAKAFU010000002.1,2685852,1
CAKAFU010000002.1,979,1
CAKAFU010000002.1,2835787,1
CAKAFU010000002.1,931531,1
CAKAFU010000002.1,2562285,1
CAKAFU010000002.1,1236,1
CAKAFU010000002.1,1720083,1
CAKAFU010000002.1,538949,1
CAKAFU010000002.1,2913621,2
CAKAFU010000002.1,91347,1
CAKAFU010000002.1,91061,1
CAKAFU010000002.1,181013,1
CAKAFU010000002.1,28128,1
CAKAFU010000002.1,1217282,1
CAKAFU010000002.1,147206,1
CAKAFU010000002.1,32033,1
CAKAFU010000002.1,3369,1
CAKAFU010000002.1,3028318,1
CAKAFU010000002.1,291644,1
CAKAFU010000002.1,2093856,1
CAKAFU010000002.1,543,1
CAKAFU010000002.1,201174,1
CAKAFU010000002.1,2249226,1
CAKAFU010000002.1,986,1
CAKAFU010000002.1,89966,1
CAKAFU010000002.1,282402,1
CAKAFU010000002.1,2691580,1
CAKAFU010000002.1,2364787,1
CAKAFU010000002.1,1118202,1
CAKAFU010000002.1,1386,1
CAKAFU010000002.1,1884905,1
CAKAFU010000002.1,1337936,1
CAKAFU010000002.1,1294,1
CAKAFU010000002.1,2747268,1
CAKAFU010000002.1,52959,1
CAKAFU010000002.1,817,1
CAKAFU010000002.1,2518495,1
CAKAFU010000002.1,477666,1
CAKAFU010000002.1,2999067,1
CAKAFU010000002.1,1192162,1
CAKAFU010000002.1,165179,1
CAKAFU010000002.1,1610,1
CAKAFU010000002.1,1913577,1
CAKAFU010000002.1,570161,1
CAKAFU010000002.1,1008,1
CAKAFU010000002.1,411459,1
CAKAFU010000002.1,577309,1
CAKAFU010000002.1,820,1
CAKAFU010000002.1,1783272,1
CAKAFU010000002.1,3126690,1
CAKAFU010000002.1,2694929,1
CAKAFU010000002.1,46125,1
CAKAFU010000002.1,1231626,1
CAKAFU010000002.1,827,1
CAKAFU010000002.1,1248727,1
CAKAFU010000002.1,759620,1
CAKAFU010000002.1,239935,1
CAKAFU010000002.1,2893885,1
CAKAFU010000002.1,2054316,1
NZ_CP036550.1,817,2837
NZ_CP036550.1,816,86
NZ_CP036550.1,171549,54
NZ_CP036550.1,976,22
NZ_CP036550.1,171552,2
NZ_CP036550.1,2,1
NZ_CP036550.1,815,7
NZ_CP036550.1,2650158,1
NZ_CP036550.1,997879,1
NZ_CP036550.1,295405,2
NZ_CP036550.1,862962,5
NZ_CP036550.1,454154,1
NZ_CP036550.1,836,1
NZ_CP049272.1,199,781
NZ_CP049272.1,360104,1
NZ_CP049272.1,194,5
NZ_CP012544.1,204,70418
