parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
186827,1,1375,Aerococcus,45122,45282
1375,2,87541,Aerococcus christensenii,45118,45278
1375,2,2976809,Aerococcus loyolae,3,3
1375,2,1377,Aerococcus viridans,1,1
186827,1,66831,Facklamia,6,6
66831,2,178214,Facklamia hominis,6,6
186827,1,13075,Globicatella,1,1
13075,2,13076,Globicatella sanguinis,1,1
186827,1,2689587,Suicoccus,1,1
2689587,2,2036206,Suicoccus acidiformans,1,1
81852,1,2737,Vagococcus,38286,38422
2737,2,2571750,Vagococcus zengguangii,38213,38349
2737,2,81947,Vagococcus lutrae,3,3
2737,2,2738,Vagococcus fluvialis,2,2
2737,2,2562451,Vagococcus xieshaowenii,1,1
81852,1,1350,Enterococcus,178,178
1350,2,1351,Enterococcus faecalis,73,73
1350,2,1352,Enterococcus faecium,40,40
1350,2,1354,Enterococcus hirae,27,27
1350,2,44009,Enterococcus dispar,6,6
1350,1,2608891,unclassified Enterococcus,3,3
2608891,2,2060307,Enterococcus sp. FDAARGOS_375,2,2
2608891,2,3050383,Enterococcus sp. FZMF,1,1
1350,2,37734,Enterococcus casseliflavus,2,2
1350,2,44008,Enterococcus cecorum,2,2
1350,2,71452,Enterococcus raffinosus,1,1
81852,1,51668,Tetragenococcus,1,1
51668,2,526944,Tetragenococcus osmophilus,1,1
186828,1,191769,Marinilactibacillus,20538,20611
191769,1,2632303,unclassified Marinilactibacillus,20538,20611
2632303,2,1911586,Marinilactibacillus sp. 15R,20538,20611
186828,1,29393,Dolosigranulum,5,5
29393,2,29394,Dolosigranulum pigrum,5,5
186828,1,2747,Carnobacterium,2,2
2747,2,2751,Carnobacterium maltaromaticum,1,1
2747,2,174587,Carnobacterium viridans,1,1
186828,1,117563,Granulicatella,2,2
117563,2,137732,Granulicatella elegans,2,2
186828,1,1470540,Jeotgalibaca,2,2
1470540,2,708126,Jeotgalibaca dankookensis,1,1
1470540,2,2496265,Jeotgalibaca ciconiae,1,1
33958,1,1253,Pediococcus,8033,8061
1253,2,1255,Pediococcus pentosaceus,8030,8058
33958,1,1578,Lactobacillus,7,7
1578,2,147802,Lactobacillus iners,6,6
1578,2,1584,Lactobacillus delbrueckii,1,1
33958,1,2767842,Lactiplantibacillus,2,2
2767842,2,1590,Lactiplantibacillus plantarum,2,2
33958,1,2742598,Limosilactobacillus,1,1
2742598,2,1598,Limosilactobacillus reuteri,1,1
33958,1,2759736,Lacticaseibacillus,1,1
33958,1,2767886,Levilactobacillus,1,1
2767886,2,1580,Levilactobacillus brevis,1,1
1300,1,1301,Streptococcus,147,147
1301,2,1314,Streptococcus pyogenes,29,29
1301,2,1313,Streptococcus pneumoniae,23,23
1301,2,1311,Streptococcus agalactiae,20,20
1301,1,119603,Streptococcus dysgalactiae group,15,15
119603,2,1334,Streptococcus dysgalactiae,13,13
119603,2,1336,Streptococcus equi,2,2
1301,2,1307,Streptococcus suis,7,7
1301,1,2608887,unclassified Streptococcus,6,6
2608887,2,2583584,Streptococcus sp. NCTC 11567,4,4
2608887,2,2576376,Streptococcus sp. 1643,1,1
2608887,2,2420310,Streptococcus sp. FDAARGOS_522,1,1
1301,1,671232,Streptococcus anginosus group,5,5
671232,2,1328,Streptococcus anginosus,3,3
671232,2,76860,Streptococcus constellatus,2,2
1301,2,1501662,Streptococcus parasuis,4,4
1301,2,28037,Streptococcus mitis,3,3
1301,2,1303,Streptococcus oralis,2,2
1301,2,684066,Streptococcus lactarius,2,2
1301,2,1304,Streptococcus salivarius,2,2
1301,2,1318,Streptococcus parasanguinis,1,1
1301,2,82348,Streptococcus pluranimalium,1,1
1300,1,1357,Lactococcus,2,2
1357,2,1358,Lactococcus lactis,1,1
1357,2,1363,Lactococcus garvieae,1,1
539738,1,1378,Gemella,65618,65852
1378,2,84135,Gemella sanguinis,65475,65708
1378,2,1379,Gemella haemolysans,9,9
1378,2,29391,Gemella morbillorum,6,6
1378,1,2624949,unclassified Gemella,2,2
2624949,2,2840371,Gemella sp. zg-570,1,1
186817,1,1386,Bacillus,8391,8420
1386,1,653685,Bacillus subtilis group,2784,2793
653685,2,1423,Bacillus subtilis,1496,1501
653685,2,72361,Bacillus vallismortis,232,232
653685,2,2054641,Bacillus stercoris,206,206
653685,2,483913,Bacillus inaquosorum,204,204
653685,2,96241,Bacillus spizizenii,163,163
653685,2,227866,Bacillus tequilensis,91,91
653685,1,1938374,Bacillus amyloliquefaciens group,88,88
1938374,2,492670,Bacillus velezensis,50,50
1938374,2,1390,Bacillus amyloliquefaciens,15,15
1938374,2,659243,Bacillus siamensis,3,3
653685,1,653388,Bacillus mojavensis subgroup,78,78
653388,2,260554,Bacillus halotolerans,57,57
653388,2,72360,Bacillus mojavensis,20,20
653685,2,1452,Bacillus atrophaeus,58,58
653685,2,1648923,Bacillus paralicheniformis,8,8
653685,2,1402,Bacillus licheniformis,3,3
1386,1,185979,unclassified Bacillus (in: firmicutes),219,219
