accession_id,total_reads,genus,genus_taxid,genus_accuracy,genus_sensitivity,genus_specificity,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_accuracy,species_sensitivity,species_specificity,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP058277.1,56317,Mycobacterium,1763,0.9991177311940741,0.98829838237122,0.9997659519690887,55658,939758,220,659,Mycobacterium marinum,1781,0.9605237404583984,0.3016318340820711,1.0,16987,939978,0,39330
NC_002628.3,14258,Methanothermobacter,145260,0.9858816916676285,0.013466124281105345,1.0,192,982037,0,14066,Methanothermobacter wolfeii,145261,0.9857993867278266,0.007714967036049937,1.0,110,982037,0,14148
NC_000866.4,8610,Tequatrovirus,10663,0.9992341625723304,0.9113821138211382,1.0,7847,987685,0,763,Tequatrovirus T4,10665,0.9944072789685786,0.35284552845528455,1.0,3038,987685,0,5572
NZ_CP032621.1,15287,Streptococcus,1301,0.99972397733603,0.984234970890299,0.9999653417709132,15046,980974,34,241,Streptococcus gwangjuense,1433513,0.9958978013540166,0.7326486557205468,1.0,11200,981008,0,4087
NZ_CP027228.1,69758,Mogibacterium,86331,0.9994328988903889,0.9919005705438803,1.0,69193,926537,0,565,Mogibacterium diversum,114527,0.999048474598387,0.9864101608417672,1.0,68810,926537,0,948
NZ_CP126745.1,6496,Cutibacterium,1912216,0.9999688847178797,0.9952278325123153,1.0,6465,989799,0,31,Cutibacterium acnes,1747,0.9998504459020672,0.9770628078817734,1.0,6347,989799,0,149
NZ_CP027232.1,40252,Capnocytophaga,1016,0.9999377694357595,0.9984597038656464,1.0,40190,956043,0,62,Capnocytophaga sp. oral taxon 864,1316593,0.9804023908581294,0.5149309351088145,1.0,20727,956043,0,19525
NZ_CP054018.1,1670,Rothia,32207,0.9999819330619947,0.9898203592814371,0.9999989945959532,1653,994624,1,17,Rothia dentocariosa,2047,0.9999478066235402,0.9694610778443113,0.9999989945959532,1619,994624,1,51
NC_001422.1,7026,Sinsheimervirus,1910954,0.9929478718652608,0.0,1.0,0,989269,0,7026,Sinsheimervirus phiX174,10847,0.9929478718652608,0.0,1.0,0,989269,0,7026
NZ_CP027235.1,83336,Haemophilus,724,0.9990444597232747,0.9885883651723145,0.9999989046605597,82385,912958,1,951,Haemophilus sp. oral taxon 036,712310,0.9838140309847987,0.8064941921858501,1.0,67210,912959,0,16126
NZ_AP026979.1,263359,Nocardia,1817,0.9773540969291225,0.9143336662122806,0.9999986356243928,240798,732935,1,22561,Nocardia cyriacigeorgica,135487,0.9725934587647233,0.8963202320786455,1.0,236054,732936,0,27305
NZ_CP050497.1,5752,Treponema,157,0.9999939776873316,0.9989568845618915,1.0,5746,990543,0,6,Treponema vincentii,69710,0.9971986208903989,0.5147774687065368,1.0,2961,990543,0,2791
NC_038308.1,13996,Enterovirus,12059,0.9999989962812219,0.9999285510145756,1.0,13995,982299,0,1,Enterovirus D,138951,0.9999989962812219,0.9999285510145756,1.0,13995,982299,0,1
NZ_CP072373.1,30662,Prevotella,838,0.9994248691401643,0.9813123736220729,1.0,30089,965633,0,573,Prevotella denticola,28129,0.9972498105480806,0.9106385754353924,1.0,27922,965633,0,2740
NZ_CP008849.1,49445,Alteromonas,226,0.9998524533396234,0.9970269996966327,1.0,49298,946850,0,147,Alteromonas australica,589873,0.9770620147647032,0.5378096875316007,1.0,26592,946850,0,22853
NZ_AP025697.1,17997,Actinomyces,1654,0.9998835686217435,0.9937767405678725,0.9999959112663013,17885,978294,4,112,Actinomyces naeslundii,1655,0.9993576199820334,0.9644385175306995,1.0,17357,978298,0,640
NZ_AP019829.2,10284,Leptotrichia,32067,0.9994740513602899,0.9492415402567095,0.999997971625063,9762,986009,2,522,Leptotrichia wadei,157687,0.9983679532668537,0.8418903150525088,1.0,8658,986011,0,1626
NC_005082.1,604,Mammarenavirus,1653394,1.0,1.0,1.0,604,995691,0,0,Guanarito mammarenavirus,45219,1.0,1.0,1.0,604,995691,0,0
NZ_CP046313.1,18114,Gemella,1378,0.9994650178912872,0.9707408634205587,0.9999969330829366,17584,978178,3,530,Gemella sanguinis,84135,0.9991940138212075,0.9556696477862426,1.0,17311,978181,0,803
NZ_CP014239.1,29356,Selenomonas,970,0.999984944218329,0.999591224962529,0.9999968974257942,29344,966936,3,12,Selenomonas sp. oral taxon 136,713030,0.9947535619470137,0.821944406594904,1.0,24129,966939,0,5227
NZ_CP089305.1,13897,Limosilactobacillus,2742598,0.9993827129514853,0.9557458444268547,1.0,13282,982398,0,615,Limosilactobacillus fermentum,1613,0.999310445199464,0.9505648701158523,1.0,13210,982398,0,687
NZ_CP031255.1,7521,Neisseria,482,0.9998574719335137,0.9813854540619599,0.9999979772930923,7381,988772,2,140,Neisseria elongata,495,0.9996045348014393,0.947746310331073,0.9999989886465461,7128,988773,1,393
NZ_CP032364.1,16101,Lachnoanaerobaculum,1164882,0.9998915983719682,0.9933544500341593,0.9999989797937959,15994,980193,1,107,Lachnoanaerobaculum umeaense,617123,0.9998915983719682,0.9933544500341593,0.9999989797937959,15994,980193,1,107
NZ_CP020566.1,66906,Veillonella,29465,0.9998283640889496,0.9974740680955371,0.9999978480485566,66737,929387,2,169,Veillonella atypica,39777,0.9984643102695486,0.9771320957761636,1.0,65376,929389,0,1530
NZ_CP019668.1,56285,Burkholderia,32008,0.9995673972066507,0.9924669094785467,0.9999925532707099,55861,940003,7,424,Burkholderia cenocepacia,95486,0.976176734802443,0.5783068313049659,1.0,32550,940010,0,23735
NC_003461.1,6004,Respirovirus,186938,0.9999417843108718,0.9903397734843438,1.0,5946,990291,0,58,Respirovirus laryngotracheitidis,3049952,0.9939736724564512,0.0,1.0,0,990291,0,6004
NZ_CP024700.1,10532,Fusobacterium,848,0.9997079178355808,0.9727497151538169,0.9999959422295217,10245,985759,4,287,Fusobacterium pseudoperiodonticum,2663009,0.9968673936936349,0.7036650208887201,1.0,7411,985763,0,3121
NZ_CP012544.1,7861,Campylobacter,194,0.9999468029047621,0.9936394860704745,0.999996964895987,7811,988431,3,50,Campylobacter showae,204,0.9998745351527409,0.9840987151761862,1.0,7736,988434,0,125
NZ_CP083898.1,49263,Zymomonas,541,0.9997039029604685,0.9940117329435885,1.0,48968,947032,0,295,Zymomonas mobilis,542,0.9997039029604685,0.9940117329435885,1.0,48968,947032,0,295
NZ_CP121767.1,19346,Rickettsia,780,0.9999698884366578,0.9985526723870568,0.9999979528102286,19318,976947,2,28,Rickettsia rickettsii,783,0.9860071565148877,0.2793859195699369,1.0,5405,976949,0,13941
