read_accession_id,taxid,count
NZ_CP046313.1,84135,26950
NZ_CP046313.1,1334,2
NZ_CP046313.1,2,31
NZ_CP046313.1,1301,11
NZ_CP046313.1,1378,41
NZ_CP046313.1,178214,1
NZ_CP046313.1,262,3
NZ_CP046313.1,1783272,3
NZ_CP046313.1,2507161,1
NZ_CP046313.1,2696063,2
NZ_CP046313.1,1239,1
NZ_CP046313.1,1761012,1
NZ_CP046313.1,29391,4
NZ_CP046313.1,29394,6
NZ_CP046313.1,3050383,1
NZ_CP046313.1,186826,1
NZ_CP046313.1,91061,3
NZ_CP046313.1,1280,1
NZ_CP046313.1,1639,1
NZ_CP046313.1,1379,1
NZ_CP017038.2,712710,21544
NZ_CP017038.2,171549,1
NZ_AP021887.1,2598453,16235
NZ_AP021887.1,1301,188
NZ_AP021887.1,1308,4
NZ_AP021887.1,1313,16
NZ_AP021887.1,3077584,6
NZ_AP021887.1,1314,1
NZ_AP021887.1,28037,5
NZ_AP021887.1,68892,4
NZ_AP021887.1,40041,1
NZ_AP021887.1,712623,5
NZ_AP021887.1,1303,4
NZ_AP021887.1,1578,1
NZ_AP021887.1,186826,2
NZ_AP021887.1,1811193,2
NZ_AP021887.1,1341,1
NZ_AP021887.1,2608887,16
NZ_AP021887.1,1759399,2
NZ_AP021887.1,1458253,1
NZ_AP021887.1,1305,2
NZ_AP021887.1,365659,3
NZ_AP021887.1,400065,1
NZ_AP021887.1,2975349,2
NZ_AP021887.1,246201,1
NZ_AP021887.1,46124,1
NZ_AP021887.1,33958,2
NZ_AP021887.1,1346,1
NZ_AP021887.1,1054460,2
NZ_AP021887.1,1249,1
NZ_AP021887.1,2759692,1
NZ_AP021887.1,2,1
NZ_AP021887.1,1304,1
NZ_AP021887.1,2576376,1
NZ_AP021887.1,1351,1
NZ_AP021887.1,2610896,1
NZ_AP021887.1,1340,1
NZ_AP021887.1,1348,1
NZ_AP021887.1,1891914,1
NZ_AP021887.1,2993430,1
NZ_AP021887.1,1004952,1
NZ_AP021887.1,1338,1
NZ_AP021887.1,2664091,1
NZ_AP021887.1,2598457,1
NZ_CP046314.1,29391,12769
NZ_CP046314.1,91061,186
NZ_CP046314.1,1239,118
NZ_CP046314.1,2,85
NZ_CP046314.1,1805431,1
NZ_CP046314.1,186826,19
NZ_CP046314.1,1378,27
NZ_CP046314.1,1353243,9
NZ_CP046314.1,1328,7
NZ_CP046314.1,76860,2
NZ_CP046314.1,699246,1
NZ_CP046314.1,1313,7
NZ_CP046314.1,1314,9
NZ_CP046314.1,1352,11
NZ_CP046314.1,889201,3
NZ_CP046314.1,561,3
NZ_CP046314.1,1491,4
NZ_CP046314.1,33033,10
NZ_CP046314.1,1496,2
NZ_CP046314.1,33040,1
NZ_CP046314.1,1307,1
NZ_CP046314.1,3058398,1
NZ_CP046314.1,1351,10
NZ_CP046314.1,1350,6
NZ_CP046314.1,1311,4
NZ_CP046314.1,2841264,1
NZ_CP046314.1,851,1
NZ_CP046314.1,862967,2
NZ_CP046314.1,33987,1
NZ_CP046314.1,1280,2
NZ_CP046314.1,2918900,1
NZ_CP046314.1,2490855,1
NZ_CP046314.1,99822,2
NZ_CP046314.1,568814,1
NZ_CP046314.1,53346,1
NZ_CP046314.1,51665,1
NZ_CP046314.1,2999116,1
NZ_CP046314.1,1354,4
NZ_CP046314.1,1871021,1
NZ_CP046314.1,40041,1
NZ_CP046314.1,360422,1
NZ_CP046314.1,72026,1
NZ_CP046314.1,2098,2
NZ_CP046314.1,1301,3
NZ_CP046314.1,90964,1
NZ_CP046314.1,186803,1
NZ_CP046314.1,1336,1
NZ_CP046314.1,2681986,1
NZ_CP046314.1,3028084,1
NZ_CP046314.1,1742359,1
NZ_CP046314.1,1783272,2
NZ_CP046314.1,44009,1
NZ_CP046314.1,1302863,1
NZ_CP046314.1,195,1
NZ_CP046314.1,81947,1
NZ_CP046314.1,1587,1
NZ_CP101412.1,33033,8583
NZ_CP101412.1,1351,5
NZ_CP101412.1,147802,1
NZ_CP101412.1,1239,70
NZ_CP101412.1,927666,2
NZ_CP101412.1,81947,1
NZ_CP101412.1,2,44
NZ_CP101412.1,1496,4
NZ_CP101412.1,1352,3
NZ_CP101412.1,91061,7
NZ_CP101412.1,186826,7
NZ_CP101412.1,699246,2
NZ_CP101412.1,1280,2
NZ_CP101412.1,2490855,1
NZ_CP101412.1,1653434,1
NZ_CP101412.1,76860,2
NZ_CP101412.1,29556,1
NZ_CP101412.1,29391,1
NZ_CP101412.1,1301,5
NZ_CP101412.1,433286,1
NZ_CP101412.1,1314,2
NZ_CP101412.1,1350,2
NZ_CP101412.1,1354,3
NZ_CP101412.1,1334,1
NZ_CP101412.1,1236,1
NZ_CP101412.1,1737404,1
NZ_CP101412.1,148942,1
NZ_CP101412.1,1580,1
NZ_CP101412.1,1307,1
NZ_CP101412.1,40477,1
NZ_CP101412.1,1785995,1
NZ_CP101412.1,1783272,1
NZ_CP101412.1,186801,1
NZ_CP101412.1,361101,3
NZ_CP101412.1,3036303,1
NZ_CP101412.1,862967,1
NZ_CP101412.1,1578,1
NZ_CP101412.1,561,1
NZ_CP101412.1,114527,1
NZ_CP044230.1,2610896,5790
NZ_CP044230.1,1301,175
NZ_CP044230.1,1156431,4
NZ_CP044230.1,2608887,240
NZ_CP044230.1,1303,1
NZ_CP044230.1,3098076,7
NZ_CP044230.1,696216,1
NZ_CP044230.1,3098075,19
NZ_CP044230.1,1318,12
NZ_CP044230.1,2972784,3
NZ_CP044230.1,1314,4
NZ_CP044230.1,760570,4
NZ_CP044230.1,684066,6
NZ_CP044230.1,712633,3
NZ_CP044230.1,150055,1
NZ_CP044230.1,45634,5
NZ_CP044230.1,1759399,3
NZ_CP044230.1,361101,1
NZ_CP044230.1,186826,1
NZ_CP044230.1,113107,2
NZ_CP044230.1,68892,1
NZ_CP044230.1,1114965,5
NZ_CP044230.1,2021971,1
NZ_CP044230.1,3028082,1
NZ_CP044230.1,1433513,1
NZ_CP044230.1,40041,1
NZ_CP044230.1,1304,1
NZ_CP044230.1,1308,2
NZ_CP044230.1,712623,1
NZ_CP044230.1,28037,1
NZ_CP044230.1,1350,1
NZ_CP044230.1,1302,1
NZ_CP044230.1,1335,1
NZ_CP044230.1,3038077,1
NZ_CP044230.1,2954545,1
NZ_CP044230.1,1307,2
NZ_CP125087.1,729,4243
NZ_CP125087.1,862965,48
NZ_CP125087.1,724,6
NZ_CP125087.1,731,1
NZ_CP125087.1,712,2
NZ_AP018768.1,727,9406
NZ_AP018768.1,724,178
NZ_AP018768.1,1232659,30
NZ_AP018768.1,262727,3
NZ_AP018768.1,1295140,6
NZ_AP018768.1,262728,3
NZ_AP018768.1,726,10
NZ_AP018768.1,281310,11
NZ_AP018768.1,1334187,8
NZ_AP018768.1,725,7
NZ_AP018768.1,729,8
NZ_AP018768.1,866630,2
NZ_AP018768.1,712,7
NZ_AP018768.1,1224,1
NZ_AP018768.1,712310,6
NZ_AP018768.1,862964,3
NZ_AP018768.1,735,1
NZ_AP018768.1,249188,1
NZ_CP032620.1,1301,8084
NZ_CP032620.1,2382163,31102
NZ_CP032620.1,1759399,206
NZ_CP032620.1,113107,190
NZ_CP032620.1,1156431,326
NZ_CP032620.1,1328,27
NZ_CP032620.1,760570,20
NZ_CP032620.1,1329,10
NZ_CP032620.1,1307,41
NZ_CP032620.1,1234680,221
NZ_CP032620.1,1341,3
NZ_CP032620.1,1305,25
NZ_CP032620.1,1336,4
NZ_CP032620.1,28037,10
NZ_CP032620.1,1313,47
NZ_CP032620.1,1303,54
NZ_CP032620.1,2819619,16
NZ_CP032620.1,684066,54
NZ_CP032620.1,1318,78
NZ_CP032620.1,2608887,28
NZ_CP032620.1,1338,6
NZ_CP032620.1,2021971,9
NZ_CP032620.1,361101,9
NZ_CP032620.1,102886,5
NZ_CP032620.1,3077584,32
NZ_CP032620.1,1302,57
NZ_CP032620.1,1308,24
NZ_CP032620.1,1311,11
NZ_CP032620.1,68892,15
NZ_CP032620.1,2173853,2
NZ_CP032620.1,1314,27
NZ_CP032620.1,1501662,7
NZ_CP032620.1,512566,1
NZ_CP032620.1,186826,11
NZ_CP032620.1,82348,17
NZ_CP032620.1,889201,13
NZ_CP032620.1,2,52
NZ_CP032620.1,149016,7
NZ_CP032620.1,1349,4
NZ_CP032620.1,1304,17
NZ_CP032620.1,1888195,7
NZ_CP032620.1,1340,3
NZ_CP032620.1,1433513,3
NZ_CP032620.1,33040,2
NZ_CP032620.1,45634,24
NZ_CP032620.1,1114965,29
NZ_CP032620.1,2610896,25
NZ_CP032620.1,2975349,5
NZ_CP032620.1,1825069,5
NZ_CP032620.1,712623,15
NZ_CP032620.1,767463,2
NZ_CP032620.1,3098075,17
NZ_CP032620.1,981539,1
NZ_CP032620.1,3077723,2
NZ_CP032620.1,400065,7
NZ_CP032620.1,1334,12
NZ_CP032620.1,1309807,2
NZ_CP032620.1,40041,2
NZ_CP032620.1,119603,1
NZ_CP032620.1,1276647,1
NZ_CP032620.1,29389,5
NZ_CP032620.1,671232,7
NZ_CP032620.1,1458253,2
NZ_CP032620.1,1814128,3
NZ_CP032620.1,1054460,3
NZ_CP032620.1,1346,5
NZ_CP032620.1,1902136,5
NZ_CP032620.1,254785,6
NZ_CP032620.1,365659,3
NZ_CP032620.1,1077464,4
NZ_CP032620.1,3028082,4
NZ_CP032620.1,262,4
NZ_CP032620.1,1345,3
NZ_CP032620.1,3070814,1
NZ_CP032620.1,2993430,4
NZ_CP032620.1,2972784,12
NZ_CP032620.1,1111760,3
NZ_CP032620.1,2781599,7
NZ_CP032620.1,712624,2
NZ_CP032620.1,3098076,15
NZ_CP032620.1,91061,3
NZ_CP032620.1,712633,22
NZ_CP032620.1,1891914,1
NZ_CP032620.1,1309,6
NZ_CP032620.1,3038077,1
NZ_CP032620.1,2576376,1
NZ_CP032620.1,2490633,2
NZ_CP032620.1,1335,6
NZ_CP032620.1,1343,5
NZ_CP032620.1,388919,3
NZ_CP032620.1,2759692,10
NZ_CP032620.1,815,1
NZ_CP032620.1,347253,5
NZ_CP032620.1,264199,1
NZ_CP032620.1,2598453,6
NZ_CP032620.1,76860,4
NZ_CP032620.1,2598457,1
NZ_CP032620.1,357276,2
NZ_CP032620.1,869311,1
NZ_CP032620.1,2664091,5
NZ_CP032620.1,186801,2
NZ_CP032620.1,150055,2
NZ_CP032620.1,78535,1
NZ_CP032620.1,525381,1
NZ_CP032620.1,945704,1
NZ_CP032620.1,1326,4
NZ_CP032620.1,1348,2
NZ_CP032620.1,119602,1
NZ_CP032620.1,1811193,3
NZ_CP032620.1,315405,1
NZ_CP032620.1,1783272,2
NZ_CP032620.1,927666,1
NZ_CP032620.1,1048332,4
NZ_CP032620.1,1203670,1
NZ_CP032620.1,99822,1
NZ_CP032620.1,3028083,2
NZ_CP032620.1,1300343,1
NZ_CP032620.1,1917441,1
NZ_CP032620.1,1007064,1
NZ_CP032620.1,1159083,1
NZ_CP032620.1,1940319,1
NZ_CP032620.1,1310,2
NZ_CP032620.1,516950,1
NZ_CP032620.1,1435981,1
NZ_CP032620.1,862971,1
NZ_CP032620.1,3020829,1
NZ_CP032620.1,1046629,1
NZ_CP032620.1,3045146,1
NZ_CP027228.1,114527,6270
NZ_CP027228.1,1239,3
NZ_CP027228.1,86331,4
NZ_CP027228.1,147802,1
NZ_CP027228.1,1311,2
NZ_CP034670.1,539,12527
NZ_CP034670.1,538,6
NZ_CP034670.1,319939,1
NZ_CP034670.1,481,8
NZ_CP034670.1,935588,1
NZ_CP034670.1,88719,1
NZ_CP019668.1,95486,10311
NZ_CP019668.1,87882,2388
NZ_CP019668.1,179879,85
NZ_CP019668.1,1503055,18
NZ_CP019668.1,60550,89
NZ_CP019668.1,488732,12
NZ_CP019668.1,152480,58
NZ_CP019668.1,1009846,23
NZ_CP019668.1,87883,57
NZ_CP019668.1,488447,90
NZ_CP019668.1,406425,60
NZ_CP019668.1,292,99
NZ_CP019668.1,2015348,9
NZ_CP019668.1,1503054,14
NZ_CP019668.1,482957,46
NZ_CP019668.1,1207504,16
NZ_CP019668.1,1055524,25
NZ_CP019668.1,32008,115
NZ_CP019668.1,1637853,2
NZ_CP019668.1,488730,46
NZ_CP019668.1,488446,33
NZ_CP019668.1,265293,9
NZ_CP019668.1,95485,41
NZ_CP019668.1,60552,9
NZ_CP019668.1,331272,6
NZ_CP019668.1,488731,33
NZ_CP019668.1,101571,32
NZ_CP019668.1,1637862,1
NZ_CP019668.1,1249668,4
NZ_CP019668.1,488729,24
NZ_CP019668.1,152500,28
NZ_CP019668.1,119060,2
NZ_CP019668.1,398577,6
NZ_CP019668.1,758782,1
NZ_CP019668.1,2813843,1
NZ_CP019668.1,1494466,1
NZ_CP019668.1,28095,1
NZ_CP019668.1,28450,1
NZ_CP019668.1,2854261,1
NZ_CP019668.1,111527,1
NZ_CP019668.1,13373,1
NZ_CP019668.1,2811788,1
NZ_CP019668.1,216591,1
NZ_CP019668.1,1705310,1
NZ_CP019668.1,395019,1
NZ_CP019668.1,2613784,1
NZ_CP019668.1,2890407,1
NZ_CP019668.1,337,1
NZ_CP031253.1,486,86136
NZ_CP031253.1,489653,1367
NZ_CP031253.1,485,177
NZ_CP031253.1,482,1659
NZ_CP031253.1,662598,15
NZ_CP031253.1,487,324
NZ_CP031253.1,28449,29
NZ_CP031253.1,484,25
NZ_CP031253.1,935588,3
NZ_CP031253.1,326523,1
NZ_CP031253.1,2912675,2
NZ_CP031253.1,326522,11
NZ_CP031253.1,2623750,2
NZ_CP031253.1,374833,10
NZ_CP031253.1,488,7
NZ_CP031253.1,28091,2
NZ_CP031253.1,267212,4
NZ_CP031253.1,1853278,5
NZ_CP031253.1,2937985,15
NZ_CP031253.1,641149,7
NZ_CP031253.1,935591,2
NZ_CP031253.1,935593,3
NZ_CP031253.1,483,22
NZ_CP031253.1,490,18
NZ_CP031253.1,655307,6
NZ_CP031253.1,1172206,4
NZ_CP031253.1,135720,1
NZ_CP031253.1,194197,4
NZ_CP031253.1,630588,2
NZ_CP031253.1,547045,2
NZ_CP031253.1,2666100,3
NZ_CP031253.1,1224,3
NZ_CP031253.1,88719,4
NZ_CP031253.1,1931275,1
NZ_CP031253.1,909420,1
NZ_CP031253.1,997348,2
NZ_CP031253.1,122587,2
NZ_CP031253.1,1247414,1
NZ_CP031253.1,1815583,1
NZ_CP031253.1,2972775,4
NZ_CP031253.1,1871109,3
NZ_CP031253.1,604162,3
NZ_CP031253.1,492,5
NZ_CP031253.1,181655,1
NZ_CP031253.1,495,4
NZ_CP031253.1,2912188,3
NZ_CP031253.1,935590,2
NZ_CP031253.1,727,2
NZ_CP031253.1,33053,1
NZ_CP031253.1,2995413,1
NZ_CP031253.1,3077590,1
NZ_CP031253.1,1853276,1
NZ_CP031253.1,942513,2
NZ_CP031253.1,935599,1
NZ_CP046315.1,1660,1828
NZ_AP014938.1,43675,3386
NZ_AP014938.1,680646,44
NZ_AP014938.1,32207,1
NZ_CP012067.1,732,29819
NZ_CP012067.1,634176,923
NZ_CP012067.1,985008,394
NZ_CP012067.1,712,61
NZ_CP012067.1,416916,64
NZ_CP012067.1,727,6
NZ_CP012067.1,537457,2
NZ_CP012067.1,51049,1
NZ_CP012067.1,724,2
NZ_CP012067.1,729,5
NZ_CP012067.1,292486,1
NZ_CP012067.1,747,2
NZ_CP012067.1,75985,2
NZ_CP012067.1,712150,2
NZ_CP012067.1,750,2
NZ_CP012067.1,1437183,1
NZ_CP012067.1,434271,1
NZ_CP012067.1,714,1
NZ_CP032364.1,617123,83139
NZ_CP032364.1,2563668,3
NZ_CP032364.1,1164882,9
NZ_CP032364.1,2490855,1
NZ_CP032364.1,2,8
NZ_CP032364.1,46507,1
NZ_CP032364.1,2564099,1
NZ_CP032364.1,1328,1
NZ_CP050134.2,43768,5302
NZ_CP031243.1,726,11685
NZ_CP031243.1,724,111
NZ_CP031243.1,727,29
NZ_CP031243.1,747,2
NZ_CP031243.1,1224,3
NZ_CP031243.1,712,7
NZ_CP031243.1,197575,1
NZ_CP031243.1,729,3
NZ_CP031243.1,712310,1
NZ_CP031243.1,221402,1
NZ_CP028108.1,860,1316
NZ_CP028108.1,2663009,197
NZ_CP028108.1,76859,16
NZ_CP028108.1,848,146
